,Date,Precip (mm),Min Temp (C),Max Temp (C),Avg Temp (C)
1160,1983-03-06T00:00:00Z,0.0,-0.5499999999999545,14.050000000000011,6.750000000000028
1161,1983-03-07T00:00:00Z,0.0,0.35000000000002274,13.150000000000034,6.750000000000028
1162,1983-03-08T00:00:00Z,0.0,0.75,14.25,7.5
1163,1983-03-09T00:00:00Z,0.0,2.3500000000000227,14.950000000000045,8.650000000000034
1164,1983-03-10T00:00:00Z,0.0,2.5500000000000114,15.550000000000011,9.050000000000011
1165,1983-03-11T00:00:00Z,0.0,5.650000000000034,17.55000000000001,11.600000000000023
1166,1983-03-12T00:00:00Z,0.0,6.350000000000023,18.350000000000023,12.350000000000023
1167,1983-03-13T00:00:00Z,0.0,3.650000000000034,16.850000000000023,10.250000000000028
1168,1983-03-14T00:00:00Z,0.0,5.25,16.650000000000034,10.950000000000017
1169,1983-03-15T00:00:00Z,0.0,1.0500000000000114,10.850000000000023,5.950000000000017
1170,1983-03-16T00:00:00Z,0.0,-0.3499999999999659,11.25,5.450000000000017
1171,1983-03-17T00:00:00Z,1.0,2.25,10.75,6.5
1172,1983-03-18T00:00:00Z,3.6,2.5500000000000114,11.950000000000045,7.250000000000028
1173,1983-03-19T00:00:00Z,0.9,0.9500000000000455,11.450000000000045,6.2000000000000455
1174,1983-03-20T00:00:00Z,0.9,-0.8499999999999659,8.650000000000034,3.900000000000034
1175,1983-03-21T00:00:00Z,7.0,-1.849999999999966,10.450000000000045,4.30000000000004
1176,1983-03-22T00:00:00Z,2.7,1.150000000000034,12.050000000000011,6.600000000000023
1177,1983-03-23T00:00:00Z,1.6,1.3500000000000227,11.350000000000023,6.350000000000023
1178,1983-03-24T00:00:00Z,2.8000000000000003,-0.5499999999999545,9.75,4.600000000000023
1179,1983-03-25T00:00:00Z,0.6000000000000001,-0.8499999999999659,10.650000000000034,4.900000000000034
1180,1983-03-26T00:00:00Z,0.4,-1.4499999999999886,11.850000000000023,5.200000000000017
1181,1983-03-27T00:00:00Z,0.0,-0.5499999999999545,12.75,6.100000000000023
1182,1983-03-28T00:00:00Z,4.9,3.650000000000034,13.450000000000045,8.55000000000004
1183,1983-03-29T00:00:00Z,0.7000000000000001,3.9500000000000455,15.75,9.850000000000023
1184,1983-03-30T00:00:00Z,0.0,3.0500000000000114,19.450000000000045,11.250000000000028
1185,1983-03-31T00:00:00Z,0.0,2.75,18.75,10.75
1186,1983-04-01T00:00:00Z,0.0,-1.25,13.550000000000011,6.150000000000006
1187,1983-04-02T00:00:00Z,0.0,0.1500000000000341,17.05000000000001,8.600000000000023
1188,1983-04-03T00:00:00Z,1.9000000000000001,-0.75,10.550000000000011,4.900000000000006
1189,1983-04-04T00:00:00Z,0.0,-2.75,8.450000000000045,2.8500000000000227
1190,1983-04-05T00:00:00Z,0.0,-1.75,7.650000000000034,2.950000000000017
1191,1983-04-06T00:00:00Z,0.0,-3.75,8.650000000000034,2.450000000000017
1192,1983-04-07T00:00:00Z,0.0,-0.8499999999999659,9.950000000000045,4.55000000000004
1193,1983-04-08T00:00:00Z,0.0,-3.349999999999966,12.050000000000011,4.350000000000023
1194,1983-04-09T00:00:00Z,0.0,-0.44999999999998863,18.05000000000001,8.800000000000011
1195,1983-04-10T00:00:00Z,0.0,1.5500000000000114,17.450000000000045,9.500000000000028
1196,1983-04-11T00:00:00Z,0.0,2.8500000000000227,14.75,8.800000000000011
1197,1983-04-12T00:00:00Z,3.0,0.5500000000000114,11.550000000000011,6.050000000000011
1198,1983-04-13T00:00:00Z,1.1,-0.44999999999998863,12.350000000000023,5.950000000000017
1199,1983-04-14T00:00:00Z,0.0,2.25,11.75,7.0
1200,1983-04-15T00:00:00Z,0.0,-0.14999999999997726,14.050000000000011,6.950000000000017
1201,1983-04-16T00:00:00Z,0.0,2.75,17.05000000000001,9.900000000000006
1202,1983-04-17T00:00:00Z,0.0,4.150000000000034,20.55000000000001,12.350000000000023
1203,1983-04-18T00:00:00Z,0.0,4.25,17.450000000000045,10.850000000000023
